rebalance_date,quarter_key,code,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,turnover_ratio
2020-04-30,2020q1,601939.XSHG,327207032.316000,72867729.250000,16075.7059,616.8722,0.5325
2020-04-30,2020q1,601997.XSHG,115686720.599500,21137335.050000,254.2243,242.5173,0.9217
2020-04-30,2020q1,601998.XSHG,72565837.467000,20278272.450000,2544.6105,1659.0696,0.0832
2020-04-30,2020q1,603323.XSHG,59374274.454500,18476013.850000,80.0561,60.4811,1.8886
2020-08-31,2020q2,002142.XSHE,1399259278.617500,49804840.100000,2132.8458,1995.3874,0.9303
2020-08-31,2020q2,002807.XSHE,88778656.239500,29653141.200000,93.8301,93.0486,0.902
2020-08-31,2020q2,002839.XSHE,339599181.465500,81608744.600000,113.7205,83.5795,3.4888
2020-08-31,2020q2,002948.XSHE,85178358.437000,21701689.150000,234.5039,31.4627,4.788
2020-08-31,2020q2,002958.XSHE,543881904.279000,108768920.050000,296.6667,143.7629,1.9178
2020-08-31,2020q2,600000.XSHG,515391015.382000,60519663.250000,3040.8798,2911.5543,0.2848
2020-08-31,2020q2,600016.XSHG,639973003.523500,152785280.550000,2429.9242,1968.1478,0.4526
2020-08-31,2020q2,600036.XSHG,3592138602.557500,123363132.700000,9505.3598,7775.0492,0.577
2020-08-31,2020q2,600908.XSHG,167032856.333500,34390765.600000,108.3085,99.4355,1.5708
2020-08-31,2020q2,600919.XSHG,387763795.473000,88222855.100000,741.1575,733.8232,0.4703
2020-08-31,2020q2,600926.XSHG,613127827.563500,67012830.350000,767.961,650.3908,2.1229
2020-08-31,2020q2,600928.XSHG,119279163.016500,24609615.900000,248.8889,64.7156,1.3395
2020-08-31,2020q2,601009.XSHG,707975308.711000,111983320.650000,859.6028,728.6217,1.7113
2020-08-31,2020q2,601077.XSHG,208174873.348500,55247582.450000,592.8354,70.8354,1.8362
2020-08-31,2020q2,601128.XSHG,393136344.318500,77522579.050000,233.5209,219.3974,1.8958
2020-08-31,2020q2,601166.XSHG,1736662981.049000,150701661.600000,3357.1092,3169.8245,1.7434
2020-08-31,2020q2,601169.XSHG,288873336.551500,80058052.350000,1029.6633,888.6781,0.4356
