factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id
indicator__roe,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.083183,-0.043488,0.733333,0.333333,0.00016404,-7.33e-05,0,fail_threshold_rule,-40.154743,annual_05
indicator__eps,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.02615,-0.078633,0.6,0.333333,0.00013607,-0.00030333,0,fail_threshold_rule,-75.299973,annual_05
derived__log_total_assets,derived,base_core,larger_better,y_quarter_avg_daily_return_close,0.100048,0.127096,0.733333,0.666667,4.676e-05,0.00039145,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,133.763061,annual_05
bank_indicator__Nonperforming_loan_rate,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.035656,-0.0348,0.6,0.4,0.00022762,-2.407e-05,0,fail_threshold_rule,-30.800024,annual_05
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.134438,0.052732,0.6,0.6,0.00026578,-9.666e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,58.731903,annual_05
bank_indicator__deposit_loan_ratio,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.167715,0.155106,0.866667,0.8,0.00026305,3.292e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,163.106033,annual_05
bank_indicator__capital_adequacy_ratio,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.208277,0.372807,0.866667,1.0,0.00027387,0.00053588,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,382.807536,annual_05
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.118164,0.090274,0.8,0.6,0.00023508,6.119e-05,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,96.274061,annual_05
improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.050473,-0.039755,0.466667,0.5,0.00017384,-0.0001749,0,fail_threshold_rule,-34.755175,annual_05
bank_indicator__non_interest_income_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,-0.058818,-0.017239,0.466667,0.2,-0.00019745,-0.00014706,0,fail_threshold_rule,-15.239147,annual_05
bank_indicator__net_interest_margin,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,-0.168344,-0.289201,0.333333,0.0,-0.00018938,-0.00021719,0,fail_threshold_rule,-289.201217,annual_05
indicator__inc_net_profit_to_shareholders_annual,indicator,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.016999,-0.007345,0.6,0.666667,-4.53e-06,-2.427e-05,0,fail_threshold_rule,-0.678354,annual_05
bank_indicator__cost_to_income_ratio,bank_indicator,watch_layer,smaller_better,y_year_avg_daily_return_close,-0.017205,0.158654,0.4,0.8,-0.00013886,0.00034892,0,fail_threshold_rule,166.654349,annual_05
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.120969,0.350831,0.666667,1.0,0.00012802,0.0004436,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,360.831444,annual_05
derived__investment_income_to_operating_revenue,derived,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.008604,-0.140878,0.4,0.5,9.4e-05,-0.00075729,0,fail_threshold_rule,-135.878757,annual_05
improve__annual_delta__bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,-0.037665,-0.209582,0.466667,0.4,-5.988e-05,-0.00029799,0,fail_threshold_rule,-205.582298,annual_05
improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.015276,0.114095,0.466667,0.666667,-2.069e-05,0.0002089,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,120.761879,annual_05
improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.010205,0.131657,0.533333,0.833333,8.893e-05,0.00014405,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,139.990474,annual_05
improve__snapshot_delta__indicator__eps,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.052051,0.09998,0.666667,0.666667,0.00011749,0.00038742,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,106.647057,annual_05
