rebalance_date,quarter_key,code,active_quarter_key,effective_data_flag,avg_traded_amount_lookback,market_cap,circulating_market_cap,avg_traded_volume_lookback,liquidity_top_80_flag,market_cap_top_80_flag,rebalance_stock_pool_flag
2020-08-31,2020q2,002958.XSHE,2020q2,1,543881904.279000,296.6667,143.7629,108768920.050000,1,1,1
2020-08-31,2020q2,600000.XSHG,2020q2,1,515391015.382000,3040.8798,2911.5543,60519663.250000,1,1,1
2020-08-31,2020q2,600016.XSHG,2020q2,1,639973003.523500,2429.9242,1968.1478,152785280.550000,1,1,1
2020-08-31,2020q2,600036.XSHG,2020q2,1,3592138602.557500,9505.3598,7775.0492,123363132.700000,1,1,1
2020-08-31,2020q2,600908.XSHG,2020q2,1,167032856.333500,108.3085,99.4355,34390765.600000,1,0,0
2020-08-31,2020q2,600919.XSHG,2020q2,1,387763795.473000,741.1575,733.8232,88222855.100000,1,1,1
2020-08-31,2020q2,600926.XSHG,2017q4,1,613127827.563500,767.961,650.3908,67012830.350000,1,1,1
2020-08-31,2020q2,600928.XSHG,2020q2,1,119279163.016500,248.8889,64.7156,24609615.900000,0,1,0
2020-08-31,2020q2,601009.XSHG,2020q2,1,707975308.711000,859.6028,728.6217,111983320.650000,1,1,1
2020-08-31,2020q2,601077.XSHG,2020q2,1,208174873.348500,592.8354,70.8354,55247582.450000,1,1,1
2020-08-31,2020q2,601128.XSHG,2020q2,1,393136344.318500,233.5209,219.3974,77522579.050000,1,0,0
2020-08-31,2020q2,601166.XSHG,2020q2,1,1736662981.049000,3357.1092,3169.8245,150701661.600000,1,1,1
2020-08-31,2020q2,601169.XSHG,2020q2,1,288873336.551500,1029.6633,888.6781,80058052.350000,1,1,1
2020-08-31,2020q2,601229.XSHG,2020q2,1,208280231.824000,1196.1897,1144.7953,35181790.900000,1,1,1
2020-08-31,2020q2,601328.XSHG,2020q2,1,658944208.164000,3512.627,1856.5659,191385044.500000,1,1,1
2020-08-31,2020q2,601577.XSHG,2020q2,1,302345946.277500,313.7565,91.272,41152299.200000,1,1,1
2020-08-31,2020q2,601818.XSHG,2020q2,1,653223753.484500,2015.5906,1528.7271,229295505.600000,1,1,1
2020-08-31,2020q2,601838.XSHG,2020q2,1,902386199.197000,367.0047,192.5152,114457438.900000,1,1,1
2020-08-31,2020q2,601916.XSHG,2020q2,1,316103376.150500,886.9047,106.335,99028089.150000,1,1,1
2020-08-31,2020q2,601997.XSHG,2020q2,1,289496096.460500,263.5565,253.5616,47730021.550000,1,1,1
2020-08-31,2020q2,601998.XSHG,2020q2,1,158955016.795500,2554.3983,1665.4514,41352335.400000,0,1,0
2020-08-31,2020q2,603323.XSHG,2020q2,1,106734088.125500,86.3669,65.2488,29512959.000000,0,0,0
2021-04-30,2021q1,002948.XSHE,2020q4,1,49006938.109500,225.0335,30.1921,12873231.050000,0,0,0
2021-04-30,2021q1,600000.XSHG,2020q4,1,463833476.262000,2949.8905,2949.8905,54274118.350000,1,1,1
2021-04-30,2021q1,600016.XSHG,2020q4,1,381168794.522500,2057.7737,1666.7198,104046280.600000,1,1,1
