rebalance_date,quarter_key,code,active_quarter_key,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,y_quarter_avg_daily_return_close,y_quarter_end_date,y_year_avg_daily_return_close,y_year_end_date,derived__log_total_assets,derived__staff_cash_to_operating_revenue,derived__investment_income_to_operating_revenue
2020-11-02,2020q3,601818.XSHG,2020q3,727889339.676000,250905075.650000,2036.5863,1544.6514,-0.0002781782,2021-05-06,-0.0003845076,2022-05-05,29.2963850053,0.1091134353,0.0468205261
2020-11-02,2020q3,601838.XSHG,2020q3,431350680.487000,50976878.600000,367.7272,192.8942,0.0018972787,2021-05-06,0.0017937254,2022-05-05,27.1833155906,0.0961491740,0.1276326619
2020-11-02,2020q3,601916.XSHG,2020q3,152966343.898000,48019519.650000,844.3673,101.235,-0.0000698973,2021-05-06,-0.0003426006,2022-05-05,28.3503714749,0.2033680040,0.0941059931
2020-11-02,2020q3,601939.XSHG,2020q3,681766627.560000,144943936.000000,15600.685,598.6442,0.0007217210,2021-05-06,0.0001301418,2022-05-05,30.9738165226,0.1545692880,0.0271272336
2020-11-02,2020q3,601988.XSHG,2020q3,382542889.917000,161206862.750000,9390.9705,6723.4199,0.0001568767,2021-05-06,0.0002107297,2022-05-05,30.8379817966,0.1454490876,0.0344232998
2020-11-02,2020q3,601997.XSHG,2020q3,274626008.770500,46456671.150000,245.5356,236.224,0.0000518884,2021-05-06,-0.0004779277,2022-05-05,27.0797897912,0.1288856164,0.0746380947
2021-05-06,2021q1,000001.XSHE,2021q1,1504048071.959500,85686186.600000,4560.3908,4560.3523,-0.0032447427,2021-09-01,-0.0016853338,2022-09-01,29.1511848750,0.2062075237,0.0659758782
2021-05-06,2021q1,002142.XSHE,2021q1,838015835.270000,24796006.650000,2549.2013,2515.3596,-0.0026006248,2021-09-01,-0.0006641279,2022-09-01,28.1749272944,0.3756237714,0.1654317254
2021-05-06,2021q1,002958.XSHE,2021q1,68227678.726000,17901395.250000,242.223,117.525,-0.0006595526,2021-09-01,-0.0008105404,2022-09-01,26.7713286970,0.2361054151,0.0789552922
2021-05-06,2021q1,002966.XSHE,2021q1,116765787.950000,22201193.450000,247.0,120.3942,-0.0004916203,2021-09-01,0.0001826441,2022-09-01,26.7910244580,0.3137679529,0.0953679584
2021-05-06,2021q1,600000.XSHG,2021q1,516361707.659000,60977989.250000,2964.5666,2964.5666,-0.0004418806,2021-09-01,-0.0006487857,2022-09-01,29.7188021621,0.1788498041,0.0643552361
2021-05-06,2021q1,600015.XSHG,2021q1,137276725.027000,29706663.400000,963.2402,802.7002,-0.0006013643,2021-09-01,-0.0002186310,2022-09-01,28.8752808917,0.1636948880,0.0306213206
2021-05-06,2021q1,600016.XSHG,2021q1,367800404.502500,100788727.850000,2057.7737,1666.7198,-0.0011881100,2021-09-01,-0.0004571384,2022-09-01,29.5858515039,0.2021731055,0.0289747400
2021-05-06,2021q1,600036.XSHG,2021q1,2424113633.097500,60519772.300000,13535.4911,11071.5545,-0.0002190544,2021-09-01,-0.0009597697,2022-09-01,29.7902716072,0.1768474708,0.0627839200
2021-05-06,2021q1,600919.XSHG,2021q1,625026768.477500,130784207.600000,1044.2113,1036.1343,-0.0002320189,2021-09-01,0.0005871512,2022-09-01,28.5492226922,0.1947879769,0.1192112691
2021-05-06,2021q1,600926.XSHG,2017q4,323605876.770000,24621919.800000,1008.1341,857.0312,-0.0012462129,2021-09-01,-0.0001713811,2022-09-01,27.4487060327,0.1555911174,0.1402610484
2021-05-06,2021q1,601009.XSHG,2021q1,412755892.952000,58408990.650000,925.6491,784.6042,0.0009831500,2021-09-01,0.0007710240,2022-09-01,28.1133354565,0.2382536330,0.0702316717
2021-05-06,2021q1,601077.XSHG,2021q1,114440324.082500,38972732.900000,474.7226,245.5526,0.0000228730,2021-09-01,-0.0000643710,2022-09-01,27.8053390566,0.2496453190,0.0371146826
2021-05-06,2021q1,601166.XSHG,2021q1,2186574974.816000,139217816.400000,4624.3349,4366.3548,-0.0013189797,2021-09-01,-0.0004007917,2022-09-01,29.7096705940,0.1733467474,0.1372006539
2021-05-06,2021q1,601169.XSHG,2021q1,241424086.213000,69144304.000000,1014.8632,1014.8632,-0.0003968413,2021-09-01,-0.0000439010,2022-09-01,28.7399189928,0.1233130611,0.0985809441
2021-05-06,2021q1,601229.XSHG,2021q1,263837251.015000,44768162.800000,1169.1973,1127.8273,-0.0007672640,2021-09-01,-0.0006397550,2022-09-01,28.5676543043,0.1847777518,0.1062573056
2021-05-06,2021q1,601288.XSHG,2021q1,563067671.333000,236561163.650000,11234.4554,9439.1749,-0.0002482200,2021-09-01,0.0000065481,2022-09-01,30.9825783623,0.1871618703,0.0380813774
2021-05-06,2021q1,601328.XSHG,2021q1,478806568.190500,136199824.050000,3594.316,1899.7418,-0.0003689028,2021-09-01,0.0002384111,2022-09-01,30.0445409596,0.1844492567,0.0384671661
2021-05-06,2021q1,601398.XSHG,2021q1,937276319.534000,239579640.550000,18248.0004,13804.1453,-0.0006643312,2021-09-01,-0.0001761279,2022-09-01,31.1681338921,0.1563168525,0.0320379519
2021-05-06,2021q1,601577.XSHG,2021q1,153547713.783500,20175503.600000,365.5592,90.4757,0.0000114199,2021-09-01,-0.0006036692,2022-09-01,27.3230731559,0.2321105902,0.1082931598
2021-05-06,2021q1,601658.XSHG,2021q1,593747173.058500,142298505.000000,4720.8207,576.125,0.0011375765,2021-09-01,-0.0000173252,2022-09-01,30.1127457083,0.1962886331,0.0424673477
2021-05-06,2021q1,601818.XSHG,2021q1,457760675.240000,160284556.000000,2037.0032,1559.0148,-0.0004590845,2021-09-01,-0.0004212644,2022-09-01,29.3505128930,0.1866842418,0.0433692590
2021-05-06,2021q1,601838.XSHG,2021q1,272183141.561500,30876356.150000,454.4212,452.8435,0.0004457902,2021-09-01,0.0010616838,2022-09-01,27.2937853285,0.2874895357,0.1191480552
2021-05-06,2021q1,601939.XSHG,2021q1,610995536.399000,115663642.900000,16825.7388,645.6532,-0.0010578759,2021-09-01,-0.0003019065,2022-09-01,31.0112700361,0.1350526272,0.0260988440
2021-05-06,2021q1,601988.XSHG,2021q1,422994118.787000,174049577.000000,9597.042,6870.9558,-0.0000886540,2021-09-01,0.0002038415,2022-09-01,30.8827236404,0.1893193120,0.0363688195
2021-05-06,2021q1,601997.XSHG,2021q1,159879121.843500,26914295.100000,282.6241,239.32,-0.0011877150,2021-09-01,-0.0006629629,2022-09-01,27.1174089550,0.2270965937,0.0328649113
2021-05-06,2021q1,601998.XSHG,2021q1,137851223.387000,35508402.650000,2544.6117,1770.7392,-0.0008479575,2021-09-01,-0.0000564198,2022-09-01,29.6833016134,0.1968062565,0.0552259506
2021-09-01,2021q2,000001.XSHE,2021q2,1797371840.984500,116860227.300000,3469.7782,3469.7489,0.0018180228,2021-11-01,-0.0016901808,2022-11-01,29.1835754003,0.0871957475,0.0747458734
2021-09-01,2021q2,002142.XSHE,2021q2,1283048195.448000,43665496.750000,2003.6734,1977.0739,0.0040837421,2021-11-01,-0.0007579147,2022-11-01,28.2373683517,0.1689137624,0.2482828797
2021-09-01,2021q2,002966.XSHE,2021q2,121866041.047000,23992639.550000,229.6667,111.9512,0.0000241539,2021-11-01,0.0005723302,2022-11-01,26.8089543129,0.1381551460,0.1413653130
2021-09-01,2021q2,600000.XSHG,2021q2,318699508.327500,41008428.300000,2694.5283,2694.5283,-0.0015867660,2021-11-01,-0.0008922935,2022-11-01,29.7257354328,0.1222122359,0.0743682461
2021-09-01,2021q2,600015.XSHG,2021q2,99590276.756000,23244481.900000,872.4556,727.0463,-0.0000356599,2021-11-01,-0.0002916493,2022-11-01,28.8888102890,0.1437841809,0.0388947841
2021-09-01,2021q2,600016.XSHG,2021q2,235218140.778500,75171752.050000,1768.8097,1432.6698,-0.0009764748,2021-11-01,-0.0004524778,2022-11-01,29.5868402937,0.1387155224,0.0790550970
2021-09-01,2021q2,600036.XSHG,2021q2,3173929101.018000,79036389.800000,12809.1596,10477.4409,0.0015333673,2021-11-01,-0.0018044146,2022-11-01,29.8154852912,0.1381699564,0.0688825924
2021-09-01,2021q2,600919.XSHG,2021q2,674879503.172000,133971180.400000,962.9796,957.1271,0.0005224523,2021-11-01,0.0006038063,2022-11-01,28.5684056991,0.0973528668,0.1596044604
2021-09-01,2021q2,600926.XSHG,2017q4,322877181.354500,29547811.650000,860.4721,731.5014,0.0005840495,2021-11-01,-0.0003380033,2022-11-01,27.4487060327,0.1555911174,0.1402610484
2021-09-01,2021q2,601009.XSHG,2021q2,455341241.603000,64738376.550000,962.675,815.9884,0.0014354968,2021-11-01,0.0005680008,2022-11-01,28.1402323086,0.1495579582,0.1822222700
2021-09-01,2021q2,601077.XSHG,2021q2,130193606.233000,45412419.950000,449.7372,232.6288,-0.0007571486,2021-11-01,-0.0001543873,2022-11-01,27.8329649823,0.1705273838,0.0226831338
2021-09-01,2021q2,601166.XSHG,2021q2,1875671488.194000,136339958.550000,3980.3349,3758.282,-0.0005111894,2021-11-01,-0.0004913391,2022-11-01,29.7240182392,0.1181227952,0.0244314344
2021-09-01,2021q2,601169.XSHG,2021q2,235249832.522000,69274820.800000,928.177,928.177,0.0003558418,2021-11-01,-0.0000269353,2022-11-01,28.7491242186,0.0974110635,0.1406841746
2021-09-01,2021q2,601229.XSHG,2021q2,121225706.171500,22713982.150000,1042.7592,1005.863,-0.0000260426,2021-11-01,-0.0007012864,2022-11-01,28.5973824947,0.0794134028,0.1380113958
2021-09-01,2021q2,601288.XSHG,2021q2,464213613.407500,207051894.850000,10464.4927,8948.6077,-0.0002351558,2021-11-01,-0.0000266030,2022-11-01,30.9862570339,0.2158283894,0.0210655522
