factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id,train_anchor_years
improve__snapshot_delta__indicator__eps,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.034052,-0.007774,0.666667,0.5,0.00022314,1.08e-06,0,fail_threshold_rule,-2.773999,expanding_03,7
indicator__roe,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.138619,-0.152205,0.72,0.333333,-0.00027451,-0.00025274,0,fail_threshold_rule,-148.871923,expanding_04,8
indicator__eps,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.092394,-0.22818,0.6,0.166667,0.00035951,-0.00094168,0,fail_threshold_rule,-226.514272,expanding_04,8
derived__log_total_assets,derived,base_core,larger_better,y_quarter_avg_daily_return_close,0.108582,0.121977,0.68,0.666667,0.00061002,0.00051141,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,128.644181,expanding_04,8
bank_indicator__Nonperforming_loan_rate,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.194624,-0.344512,0.730769,0.0,0.00030642,-0.0003242,0,fail_threshold_rule,-344.512324,expanding_04,8
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.127349,-0.242614,0.576923,0.166667,0.00011765,-0.00040934,0,fail_threshold_rule,-240.947739,expanding_04,8
bank_indicator__deposit_loan_ratio,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.186285,-0.040119,0.846154,0.5,0.0002843,-0.00019347,0,fail_threshold_rule,-35.119193,expanding_04,8
bank_indicator__capital_adequacy_ratio,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.160937,0.361643,0.653846,1.0,0.00026602,0.00060155,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,371.643602,expanding_04,8
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.078237,0.159925,0.652174,1.0,9.532e-05,0.00018708,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,169.925187,expanding_04,8
improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.057766,-0.062468,0.541667,0.333333,0.00023132,-0.0003906,0,fail_threshold_rule,-59.135061,expanding_04,8
