code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,net_profit_margin,48.93,indicator.csv,net_profit_margin,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,gross_profit_margin,,indicator.csv,gross_profit_margin,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,expense_to_total_revenue,40.0,indicator.csv,expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,operation_profit_to_total_revenue,60.0,indicator.csv,operation_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,net_profit_to_total_revenue,48.93,indicator.csv,net_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,operating_expense_to_total_revenue,,indicator.csv,operating_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,ga_expense_to_total_revenue,29.1,indicator.csv,ga_expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,financing_expense_to_total_revenue,,indicator.csv,financing_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,operating_profit_to_profit,81.79,indicator.csv,operating_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,invesment_profit_to_profit,18.47,indicator.csv,invesment_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,adjusted_profit_to_profit,100.04,indicator.csv,adjusted_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,goods_sale_and_service_to_revenue,,indicator.csv,goods_sale_and_service_to_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,ocf_to_revenue,88.73,indicator.csv,ocf_to_revenue,quarterly_direct,identity_q1_or_ytd_diff,
