trade_seq,code,display_name,listed_start,listed_days,listed_trading_days,open,close,high,low,volume,money,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,daily_return_close,mom_1m,mom_3m,mom_6m,mom_12m,mom_12_1,mom_6_1,liq_money_1m,liq_turnover_1m,price_history_1m_ready,price_history_3m_ready,price_history_6m_ready,price_history_12m_ready,price_history_12_1_ready,liquidity_1m_ready,momentum_core_ready_v1,rebalance_date,quarter_key,next_rebalance_date,next_rebalance_close,y_quarter_total_return_close,y_quarter_avg_daily_return_close,avg_money_20d_pre_rebalance,avg_market_cap_20d_pre_rebalance,liquidity_top_80_flag,market_cap_top_80_flag,rebalance_stock_pool_flag
1179,601229.XSHG,上海银行,2016-11-16,715,479,6.07,5.98,6.12,5.96,63074036.0,379767552.0,0.6037,1313.5575,624.5084,7.3189,0.9521,-0.014827018121911,-0.0016694490818029,0.0794223826714801,0.1219512195121952,0.0033557046979866,0.0050335570469799,0.1238273921200749,299560393.15,0.4874799999999999,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,6.12,0.02341137123745818,0.00031117149812912715,299560393.15,1286.3465249999997,1,1,1
1179,601288.XSHG,农业银行,2010-07-15,3031,1179,2.53,2.5,2.54,2.49,394901085.0,992372717.0,0.0878,13369.3519,11232.9122,6.5356,0.8623,-0.0118577075098813,-0.0039840637450198,0.0638297872340425,0.0288065843621398,0.0822510822510822,0.0865800865800865,0.0329218106995883,1034757017.75,0.09255,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,2.39,-0.04399999999999993,-0.000307468353117619,1034757017.75,13294.105545000002,1,1,1
1179,601328.XSHG,交通银行,2007-05-15,4188,1179,3.88,3.81,3.9,3.81,148136056.0,569453264.0,0.2435,4381.5009,2315.801,5.9932,0.7038,-0.0155038759689922,0.016,0.0495867768595041,0.0026315789473685,0.0,-0.0157480314960629,-0.013157894736842,515475629.9,0.226355,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,3.99,0.047244094488189115,0.00046109594791661235,515475629.9,4279.76092,1,1,1
1179,601398.XSHG,工商银行,2006-10-27,4388,1179,3.76,3.71,3.78,3.7,292210840.0,1089281160.0,0.0722,19851.8285,15017.4002,6.6689,0.9103,-0.0106666666666667,-0.021108179419525,0.0027027027027026,-0.026246719160105,-0.041343669250646,-0.0206718346253229,-0.005249343832021,1042378818.2,0.06965,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,3.81,0.02695417789757415,0.00029271805106527617,1042378818.2,19771.637114999998,1,1,1
1179,601577.XSHG,长沙银行,2018-09-26,36,22,7.17,7.15,7.41,7.15,86396611.0,625747643.0,18.579,332.575,33.2575,7.779,1.1116,-0.0137931034482757,-0.188422247446084,,,,,,594227165.6,17.985780000000002,1,0,0,0,0,1,0,2018-11-01,2018q3,2019-05-06,7.45,0.04195804195804187,0.0006655380544656491,594227165.6,325.54372,1,1,1
1179,601818.XSHG,光大银行,2010-08-18,2997,1179,2.67,2.65,2.67,2.64,100602808.0,267390127.0,0.1672,2099.5706,1592.4212,6.1985,0.7522,0.0,0.0311284046692608,0.108786610878661,0.0311284046692608,0.0392156862745098,0.0078431372549019,0.0,310361011.1,0.198795,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,2.67,0.007547169811320753,0.00017099050741067065,310361011.1,2048.91845,1,1,1
1179,601838.XSHG,成都银行,2018-01-31,274,181,6.27,6.3,6.45,6.27,34237561.0,217386632.0,6.8544,314.6271,31.4627,7.0004,1.0523,-0.004739336492891,-0.0352220520673813,-0.036697247706422,-0.1633466135458168,,,-0.1328021248339973,193730916.05,6.21542,1,1,1,0,0,1,0,2018-11-01,2018q3,2019-05-06,6.52,0.0349206349206348,0.0004711857421333588,193730916.05,309.55188000000004,1,1,1
1179,601939.XSHG,建设银行,2007-09-25,4055,1179,4.87,4.82,4.89,4.8,127632403.0,616931436.0,0.9039,17725.7783,680.1903,6.9477,0.9621,-0.008230452674897,-0.0041322314049585,0.032119914346895,-0.0183299389002036,0.0593406593406593,0.0637362637362637,-0.0142566191446028,755558779.95,1.12363,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,4.86,0.008298755186721962,0.00018259509237730895,755558779.95,17513.268975000003,1,1,1
1179,601988.XSHG,中国银行,2006-07-05,4502,1179,2.48,2.45,2.49,2.45,212681108.0,524049944.0,0.0673,10804.0319,7735.0944,5.9964,0.7305,-0.0120967741935482,0.0,0.0337552742616034,-0.0040650406504064,-0.0120967741935482,-0.0120967741935482,-0.0040650406504064,549279449.6,0.07177,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,2.52,0.02857142857142847,0.00028823151801087114,549279449.6,10673.029375000002,1,1,1
1179,601997.XSHG,贵阳银行,2016-08-16,807,538,5.87,5.84,5.98,5.84,33190116.0,195782288.0,1.3194,272.3831,146.8174,5.365,0.9698,-0.0068027210884353,-0.0184873949579832,-0.025041736227045,-0.1151515151515151,-0.168091168091168,-0.1524216524216524,-0.0984848484848484,164516875.2,1.147105,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,6.51,0.11472602739726034,0.0010963137045467961,164516875.2,264.62539,0,1,0
