fold_id,candidate_name,rebalance_date,train_start,validation_start,validation_end,formula,universe_count,state_score,low_cut,high_cut,state_bucket,fundamental_budget,momentum_budget,portfolio_return,invested_weight,cash_weight,fundamental_stock_count,momentum_stock_count,final_stock_count,overlap_stock_count
fold_02,severe_breadth_only,2019-11-01,2014-09-01,2019-09-02,2020-09-01,- 1.0*severe_deterioration_ratio,14,0.722971,-0.340829,0.62605,strong_up,0.6,0.4,-0.0009460834,0.932308,0.067692,14,14,14,14
fold_02,delta_mean_only,2019-11-01,2014-09-01,2019-09-02,2020-09-01,+ 1.0*score_delta_mean,14,-0.587435,-0.912642,0.709208,neutral_flat,0.8,0.2,-0.0008932125,0.9,0.1,14,14,14,14
fold_02,delta_median_only,2019-11-01,2014-09-01,2019-09-02,2020-09-01,+ 1.0*score_delta_median,14,-0.557533,-0.275906,-0.016648,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_02,bottom_quartile_only,2019-11-01,2014-09-01,2019-09-02,2020-09-01,+ 1.0*score_delta_bottom_quartile_mean,14,-0.533993,-0.206619,0.556596,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_02,top_bottom_spread_only,2019-11-01,2014-09-01,2019-09-02,2020-09-01,+ 1.0*score_delta_top_bottom_spread,14,0.247945,-0.735817,0.373466,neutral_flat,0.8,0.2,-0.0008932125,0.9,0.1,14,14,14,14
fold_02,breadth_plus_mean,2019-11-01,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean,14,-0.793947,-0.420427,0.392243,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_02,breadth_plus_median,2019-11-01,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_median,14,-0.774871,-0.325294,0.294139,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_02,breadth_plus_bottom,2019-11-01,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_bottom_quartile_mean,14,-0.953727,-0.484731,0.548099,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_02,severe_plus_mean,2019-11-01,2014-09-01,2019-09-02,2020-09-01,- 1.0*severe_deterioration_ratio + 1.0*score_delta_mean,14,-0.253389,-0.645651,0.71411,neutral_flat,0.8,0.2,-0.0008932125,0.9,0.1,14,14,14,14
fold_02,severe_plus_bottom,2019-11-01,2014-09-01,2019-09-02,2020-09-01,- 1.0*severe_deterioration_ratio + 1.0*score_delta_bottom_quartile_mean,14,-0.309038,-0.015239,0.559735,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
