schedule,rebalance_date,next_rebalance_date,hold_count,turnover_ratio,period_return,selected_codes
daily,2019-07-31,2019-08-01,5,0.4,-0.008647038277337949,"002142.XSHE,601939.XSHG,601988.XSHG,600036.XSHG,601997.XSHG"
daily,2019-08-01,2019-08-02,5,0.6,-0.01614951703365184,"002142.XSHE,601998.XSHG,000001.XSHE,601398.XSHG,601997.XSHG"
daily,2019-08-02,2019-08-05,5,0.6,-0.020593396181930547,"600926.XSHG,601998.XSHG,002142.XSHE,601838.XSHG,601166.XSHG"
daily,2019-08-05,2019-08-06,5,0.6,-0.008898449175760992,"600926.XSHG,600919.XSHG,601838.XSHG,601229.XSHG,601009.XSHG"
daily,2019-08-06,2019-08-07,5,0.6,0.0002905009718022544,"601998.XSHG,601166.XSHG,601838.XSHG,600919.XSHG,002142.XSHE"
daily,2019-08-07,2019-08-08,5,0.6,0.006688798009949171,"600919.XSHG,601998.XSHG,600926.XSHG,601229.XSHG,601398.XSHG"
daily,2019-08-08,2019-08-09,5,0.4,-0.0026016162886878915,"601998.XSHG,601939.XSHG,601398.XSHG,601166.XSHG,600926.XSHG"
daily,2019-08-09,2019-08-12,5,0.6,0.008438513034211548,"601009.XSHG,601998.XSHG,600926.XSHG,600919.XSHG,600015.XSHG"
daily,2019-08-12,2019-08-13,5,0.4,-0.010972425783013695,"600926.XSHG,601009.XSHG,601998.XSHG,601988.XSHG,601939.XSHG"
daily,2019-08-13,2019-08-14,5,0.8,-0.004495468732784636,"600926.XSHG,002142.XSHE,600000.XSHG,600919.XSHG,601997.XSHG"
daily,2019-08-14,2019-08-15,5,0.6,-0.0006794146785447319,"601009.XSHG,600926.XSHG,601998.XSHG,601988.XSHG,600000.XSHG"
daily,2019-08-15,2019-08-16,5,0.6,-0.0035336003304996975,"600000.XSHG,002142.XSHE,600926.XSHG,600016.XSHG,601818.XSHG"
daily,2019-08-16,2019-08-19,5,0.6,0.008411832778755813,"600926.XSHG,601988.XSHG,601229.XSHG,601998.XSHG,600016.XSHG"
