date,line,nav
2024-07-08,benchmark,1.0787
2024-07-09,benchmark,1.0866
2024-07-10,benchmark,1.0896
2024-07-11,benchmark,1.0784
2024-07-12,benchmark,1.097
2024-07-15,benchmark,1.1133
2024-07-16,benchmark,1.1107
2024-07-17,benchmark,1.113
2024-07-18,benchmark,1.1118
2024-07-19,benchmark,1.1084
2024-07-22,benchmark,1.0927
2024-07-23,benchmark,1.1121
2024-07-24,benchmark,1.1152
2024-07-25,benchmark,1.107
2024-07-26,benchmark,1.0867
2024-07-29,benchmark,1.104
2024-07-30,benchmark,1.1009
2024-07-31,benchmark,1.0881
2024-08-01,benchmark,1.0904
2024-08-02,benchmark,1.0907
2024-08-05,benchmark,1.082
2024-08-06,benchmark,1.0708
2024-08-07,benchmark,1.0711
2024-08-08,benchmark,1.0744
2024-08-09,benchmark,1.0776
2024-08-12,benchmark,1.0798
2024-08-13,benchmark,1.0866
2024-08-14,benchmark,1.0856
2024-08-15,benchmark,1.0993
2024-08-16,benchmark,1.1148
2024-08-19,benchmark,1.1424
2024-08-20,benchmark,1.1487
2024-08-21,benchmark,1.1414
2024-08-22,benchmark,1.1569
2024-08-23,benchmark,1.1607
2024-08-26,benchmark,1.1601
2024-08-27,benchmark,1.1698
2024-08-28,benchmark,1.1616
2024-08-29,benchmark,1.1211
2024-08-30,benchmark,1.0836
2024-09-02,benchmark,1.0957
2024-09-03,benchmark,1.0702
2024-09-04,benchmark,1.0676
2024-09-05,benchmark,1.0596
2024-09-06,benchmark,1.0594
2024-09-09,benchmark,1.0504
2024-09-10,benchmark,1.0648
2024-09-11,benchmark,1.0357
2024-09-12,benchmark,1.0367
2024-09-13,benchmark,1.0334
2024-09-18,benchmark,1.0476
2024-09-19,benchmark,1.044
2024-09-20,benchmark,1.0534
2024-09-23,benchmark,1.0679
2024-09-24,benchmark,1.1147
2024-09-25,benchmark,1.1261
2024-09-26,benchmark,1.1575
2024-09-27,benchmark,1.1327
2024-09-30,benchmark,1.1707
2024-10-08,benchmark,1.1804000000000001
2024-10-09,benchmark,1.1366
2024-10-10,benchmark,1.1839
2024-10-11,benchmark,1.1875
2024-10-14,benchmark,1.2377
2024-10-15,benchmark,1.206
2024-10-16,benchmark,1.2389000000000001
2024-10-17,benchmark,1.2156
2024-10-18,benchmark,1.2168
2024-10-21,benchmark,1.203
2024-10-22,benchmark,1.2053
2024-10-23,benchmark,1.2074
2024-10-24,benchmark,1.2052
2024-10-25,benchmark,1.196
2024-10-28,benchmark,1.1808
2024-10-29,benchmark,1.1864
2024-10-30,benchmark,1.1714
2024-10-31,benchmark,1.1638
2024-11-01,benchmark,1.182
2024-11-04,benchmark,1.1857
