code,statement_family,missing_reason,row_count
601169.XSHG,cash_flow,missing_raw_value,469
601169.XSHG,cash_flow,outside_current_available_window,111
601169.XSHG,cash_flow,missing_prior_cumulative_report,27
601169.XSHG,indicator,,1323
601169.XSHG,indicator,missing_raw_value,196
601169.XSHG,indicator,outside_current_available_window,93
601169.XSHG,balance,missing_raw_value,1710
601169.XSHG,balance,,1573
601169.XSHG,balance,outside_current_available_window,201
601169.XSHG,parent_balance,,1387
601169.XSHG,parent_balance,missing_raw_value,963
601169.XSHG,parent_balance,outside_current_available_window,150
601169.XSHG,parent_balance,missing_target_report,100
601169.XSHG,bank_indicator,,398
601169.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601169.XSHG,bank_indicator,missing_raw_value,132
601187.XSHG,income,,275
601187.XSHG,income,outside_current_available_window,42
601187.XSHG,income,missing_raw_value,15
601187.XSHG,income,missing_prior_cumulative_report,4
601187.XSHG,cash_flow,,564
601187.XSHG,cash_flow,missing_raw_value,202
601187.XSHG,cash_flow,outside_current_available_window,111
601187.XSHG,cash_flow,missing_prior_cumulative_report,11
601187.XSHG,indicator,,567
601187.XSHG,indicator,outside_current_available_window,93
601187.XSHG,indicator,missing_raw_value,84
601187.XSHG,balance,missing_raw_value,756
601187.XSHG,balance,,651
601187.XSHG,balance,outside_current_available_window,201
601187.XSHG,parent_balance,missing_target_report,500
601187.XSHG,parent_balance,,318
601187.XSHG,parent_balance,missing_raw_value,232
601187.XSHG,parent_balance,outside_current_available_window,150
601187.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601187.XSHG,bank_indicator,,155
601187.XSHG,bank_indicator,missing_raw_value,57
601229.XSHG,income,,485
601229.XSHG,income,outside_current_available_window,42
601229.XSHG,income,missing_raw_value,31
601229.XSHG,income,missing_prior_cumulative_report,2
601229.XSHG,cash_flow,,983
601229.XSHG,cash_flow,missing_raw_value,368
601229.XSHG,cash_flow,outside_current_available_window,111
601229.XSHG,cash_flow,missing_prior_cumulative_report,18
601229.XSHG,indicator,,999
601229.XSHG,indicator,missing_raw_value,148
601229.XSHG,indicator,outside_current_available_window,93
601229.XSHG,balance,missing_raw_value,1301
601229.XSHG,balance,,1178
601229.XSHG,balance,outside_current_available_window,201
601229.XSHG,parent_balance,,970
601229.XSHG,parent_balance,missing_raw_value,780
601229.XSHG,parent_balance,outside_current_available_window,150
601229.XSHG,parent_balance,missing_target_report,100
601229.XSHG,bank_indicator,,326
601229.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601229.XSHG,bank_indicator,missing_raw_value,98
601288.XSHG,income,,661
601288.XSHG,income,outside_current_available_window,42
601288.XSHG,income,missing_raw_value,22
601288.XSHG,income,missing_prior_cumulative_report,3
601288.XSHG,cash_flow,,1289
601288.XSHG,cash_flow,missing_raw_value,504
601288.XSHG,cash_flow,outside_current_available_window,111
601288.XSHG,cash_flow,missing_prior_cumulative_report,20
601288.XSHG,indicator,,1321
601288.XSHG,indicator,missing_raw_value,198
601288.XSHG,indicator,outside_current_available_window,93
601288.XSHG,balance,missing_raw_value,1662
601288.XSHG,balance,,1621
601288.XSHG,balance,outside_current_available_window,201
601288.XSHG,parent_balance,,1392
601288.XSHG,parent_balance,missing_raw_value,1058
601288.XSHG,parent_balance,outside_current_available_window,150
601288.XSHG,bank_indicator,,466
601288.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601288.XSHG,bank_indicator,missing_raw_value,64
601328.XSHG,income,,664
601328.XSHG,income,outside_current_available_window,42
601328.XSHG,income,missing_raw_value,20
601328.XSHG,income,missing_prior_cumulative_report,2
601328.XSHG,cash_flow,,1302
601328.XSHG,cash_flow,missing_raw_value,482
601328.XSHG,cash_flow,outside_current_available_window,111
601328.XSHG,cash_flow,missing_prior_cumulative_report,29
601328.XSHG,indicator,,1321
601328.XSHG,indicator,missing_raw_value,198
601328.XSHG,indicator,outside_current_available_window,93
601328.XSHG,balance,,1675
601328.XSHG,balance,missing_raw_value,1608
601328.XSHG,balance,outside_current_available_window,201
601328.XSHG,parent_balance,,1500
601328.XSHG,parent_balance,missing_raw_value,900
601328.XSHG,parent_balance,outside_current_available_window,150
601328.XSHG,parent_balance,missing_target_report,50
601328.XSHG,bank_indicator,,433
601328.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601328.XSHG,bank_indicator,missing_raw_value,97
601398.XSHG,income,,644
601398.XSHG,income,outside_current_available_window,42
601398.XSHG,income,missing_raw_value,41
601398.XSHG,income,missing_prior_cumulative_report,1
601398.XSHG,cash_flow,,1300
601398.XSHG,cash_flow,missing_raw_value,478
601398.XSHG,cash_flow,outside_current_available_window,111
601398.XSHG,cash_flow,missing_prior_cumulative_report,35
601398.XSHG,indicator,,1323
601398.XSHG,indicator,missing_raw_value,196
601398.XSHG,indicator,outside_current_available_window,93
601398.XSHG,balance,missing_raw_value,1815
601398.XSHG,balance,,1468
601398.XSHG,balance,outside_current_available_window,201
601398.XSHG,parent_balance,,1275
601398.XSHG,parent_balance,missing_raw_value,1175
601398.XSHG,parent_balance,outside_current_available_window,150
601398.XSHG,bank_indicator,,468
601398.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601398.XSHG,bank_indicator,missing_raw_value,62
601528.XSHG,income,,247
601528.XSHG,income,outside_current_available_window,42
601528.XSHG,income,missing_raw_value,19
